Protein,BinSanityLC-kmean-bin_55-bin_4-refined_9.proteins
K00334,c_000000351996_27
K00335,c_000000351996_30
K00336,c_000000351996_32
K00337,c_000000351996_34
K00338,c_000000351996_35
K00339,c_000000351996_36
K00340,c_000000351996_37
K00341,c_000000351996_38.c_000002197959_1
K00342,c_000000351996_39.c_000002197959_2
K00343,c_000000351996_40.c_000002197959_3
K00411,c_000001803648_3
K00412,c_000001803648_2.c_000003066807_4
K00413,c_000001803648_1.c_000003066807_3
K02259,c_000003680316_3
K00404,c_000000530843_4.c_000002303167_14
K00405,c_000000530843_3.c_000002303167_13
K00406,c_000000530843_1.c_000002303167_11
K00407,c_000000530843_2.c_000002303167_12
K02108,c_000002708282_37
K02109,c_000002708282_39.c_000002708282_40
K02110,c_000002708282_38
K02111,c_000000499052_1
K02112,c_000000499052_3
K02114,c_000000499052_4
K02115,c_000000499052_2
K00645,c_000001997686_28
K00648,c_000000970015_8
K00059,c_000001477947_1.c_000001997686_27.c_000005124155_1
K00208,c_000000395632_1.c_000004191106_10
K02372,c_000001545343_20
K09458,c_000001997686_24
K01897,c_000001803648_4.c_000002560062_14
K00249,c_000000499196_1.c_000001803648_10
K01692,c_000001927292_17
K01782,c_000000383573_2
K01640,c_000000351996_21
K00655,c_000000627071_6
K00570,c_000001997686_29.c_000004657392_2
K00981,c_000002260264_13
K01613,c_000000351996_6
K17103,c_000000351996_5
K00602,c_000002560062_2.c_000004689293_1
K00764,c_000001997686_42
K01588,c_000001299718_5
K01589,c_000001299718_4
K01756,c_000000351996_3.c_000000868878_2
K01923,c_000000443881_18.c_000001116194_5
K01933,c_000000443881_9
K01945,c_000000199359_5.c_000003471279_7
K11175,c_000000443881_10
K23264,c_000000443881_19.c_000001116194_6
K23265,c_000000443881_20.c_000001116194_7
K23269,c_000001461981_5.c_000004411197_1
K00939,c_000001795659_7
K00940,c_000001847517_4.c_000002331499_20
K01939,c_000000325279_3
K00088,c_000001054128_8.c_000001776746_4
K00942,c_000004820868_9
K01951,c_000001463471_2.c_000002072157_9.c_000004820868_2
K13481,c_000003038773_3.c_000003038773_4
K13482,c_000003038773_5.c_000004202381_1.c_000004202381_2.c_000004202381_3
K00254,c_000000383573_13
K00609,c_000000062291_4
K00762,c_000001997686_33
K01465,c_000000062291_7.c_000001997686_32
K01591,c_000002534345_12
K01955,c_000002545821_1.c_000003453244_5
K01956,c_000000062475_14.c_000001345616_4
K01937,c_000000325279_5
K09903,c_000000084125_4.c_000002260264_16
K00525,c_000002069133_9.c_000004191106_6.c_000005967325_1
K00943,c_000001018374_4
K01494,c_000000970015_11
K01520,c_000000807999_23
K01464,c_000000477426_3
K00058,c_000002534345_15
K00831,c_000002534345_16
K01079,c_000002534345_17
K00003,c_000000807999_28.c_000005159913_1
K00133,c_000001296293_1
K00928,c_000004694573_9
K01733,c_000001540635_3
K00108,c_000002986278_8
K00130,c_000000656390_1.c_000002986278_7
K00640,c_000000656287_3.c_000001997686_5.c_000002880531_11.c_000004464750_5
K01738,c_000001997686_25
K00789,c_000003303198_3
K00548,c_000000443881_16.c_000001116194_3.c_000002668608_6
K00651,c_000001767803_6.c_000003680316_11
K14155,c_000002069133_7.c_000002835133_47
K01251,c_000000765480_6.c_000001148074_6
K00053,c_000000062475_7.c_000002031518_1
K00826,c_000001445773_4.c_000001445773_5.c_000003131750_12.c_000005119021_13
K01652,c_000004191106_2
K01653,c_000004191106_3
K01687,c_000003950386_1
K00052,c_000000988354_4.c_000005119021_15
K01703,c_000005119021_19
K01704,c_000005119021_18
K01754,c_000001182820_21.c_000002562237_12.c_000004563373_3
K01649,c_000002560062_30
K00166,c_000002880531_25
K00167,c_000002880531_26
K00253,c_000000775473_1.c_000001545343_27.c_000004531028_1
K01968,c_000001545343_23
K01969,c_000001545343_24
K09699,c_000002880531_27
K13766,c_000000351996_22
K00674,c_000002708282_49
K00821,c_000002303167_6
K01439,c_000000862525_1.c_000002708282_51
K01586,c_000002570284_2
K01714,c_000003950386_20
K01778,c_000003950386_27
K14267,c_000001150656_11
K00290,c_000002560062_11
K00252,c_000001296293_11
K00145,c_000001461981_8
K00620,c_000001000322_14.c_000001046484_2
K00930,c_000004494447_12
K01438,c_000002072157_11
K00611,c_000002303167_5
K01755,c_000002570284_4
K01940,c_000002562237_14
K00147,c_000001997686_53
K00286,c_000001540635_10
K00931,c_000000342814_8.c_000001997686_54
K01581,c_000005091519_4
K00128,c_000000337741_3.c_000001477947_2.c_000002296768_7
K00013,c_000001018374_11
K00765,c_000002069133_6
K00817,c_000001053353_3.c_000002562237_5.c_000003807524_2
K01496,c_000001545343_8
K01523,c_000000729941_5
K01693,c_000000807999_4
K01814,c_000000807999_1
K02500,c_000000729941_4
K02501,c_000000807999_3
K02502,c_000002069133_5
K00014,c_000002527266_27
K00800,c_000003303198_1
K00891,c_000001598389_5
K01626,c_000004820868_12
K01735,c_000001598389_6
K01736,c_000000572460_33.c_000003066807_2
K03786,c_000002908162_2
K00766,c_000002425584_4
K01609,c_000001927292_40
K01657,c_000004191106_13
K01658,c_000002425584_5
K01695,c_000000970015_13
K01696,c_000001142646_4
K01817,c_000001142646_5.c_000002977945_4
K06001,c_000002260264_5
K04092,c_000002880531_6
K04518,c_000002303167_24
K00220,c_000001053353_4.c_000003807524_1
K01826,c_000000627071_15
K01919,c_000000062291_10.c_000000765480_29
